Title,Description,Status,Labels,Project,Team,Priority,Area
"Today hero dashboard","Daily dashboard with selected date, steps, goal progress, distance, burn, workout minutes, and weather context.","Done","project-strideslip-ios,strideslip,ios,feature-registry,today","StrideSlip iOS","TYR","Medium","Today"
"Today date navigation","Move backward and forward through daily summaries without changing the rest of the app state unexpectedly.","Done","project-strideslip-ios,strideslip,ios,feature-registry,today","StrideSlip iOS","TYR","Medium","Today"
"Apple Health onboarding","Ask for HealthKit read permission and explain steps, distance, calories, and workout access clearly.","Done","project-strideslip-ios,strideslip,ios,feature-registry,healthkit","StrideSlip iOS","TYR","High","HealthKit"
"Sample data preview","Allow the app to run with mock data when HealthKit is unavailable or permissions are not granted.","Done","project-strideslip-ios,strideslip,ios,feature-registry,onboarding","StrideSlip iOS","TYR","Low","Onboarding"
"HealthKit aggregation","Read steps, distance, active energy, flights, workouts, heart rate, and routes from Apple Health.","Done","project-strideslip-ios,strideslip,ios,feature-registry,healthkit","StrideSlip iOS","TYR","High","HealthKit"
"Hourly steps timetable","Show a chart of steps throughout the selected day so movement timing is visible at a glance.","Done","project-strideslip-ios,strideslip,ios,feature-registry,today,charts","StrideSlip iOS","TYR","High","Today"
"Weather in Fahrenheit","Show workout/day weather context in Fahrenheit for Tyron and Tiffany's usage.","Done","project-strideslip-ios,strideslip,ios,feature-registry,today,weather","StrideSlip iOS","TYR","Medium","Today"
"Today Coach","Personal coaching card with steps left, pace context, recent behavior, and household hints.","Done","project-strideslip-ios,strideslip,ios,feature-registry,today,coach","StrideSlip iOS","TYR","High","Today"
"Daily share card","Generate a compact shareable day receipt with movement and workout totals.","Done","project-strideslip-ios,strideslip,ios,feature-registry,sharing","StrideSlip iOS","TYR","Medium","Sharing"
"Activity day history","Scrollable history of days with daily totals and drill-in details.","Done","project-strideslip-ios,strideslip,ios,feature-registry,activity","StrideSlip iOS","TYR","High","Activity"
"Workout filters","Filter workouts around frequent types: stair stepper, strength training, outdoor walk, indoor walk, and other.","Done","project-strideslip-ios,strideslip,ios,feature-registry,activity,workouts","StrideSlip iOS","TYR","Medium","Activity"
"Workout detail screen","Detailed workout page with duration, distance, burn, steps, pace, effort, and weather when available.","Done","project-strideslip-ios,strideslip,ios,feature-registry,workouts","StrideSlip iOS","TYR","High","Workouts"
"Heart-rate chart","Show average HR, max HR, and a workout heart-rate chart when HealthKit heart-rate samples exist.","Done","project-strideslip-ios,strideslip,ios,feature-registry,workouts,heart-rate","StrideSlip iOS","TYR","High","Workouts"
"Heart-rate zones","Summarize workout and cardio time in default BPM zones, with app-level zone configuration.","Done","project-strideslip-ios,strideslip,ios,feature-registry,heart-rate,cardio","StrideSlip iOS","TYR","High","Cardio"
"Workout share cards","Workout-specific share cards for strength, stair stepper, indoor/outdoor walking, and other workouts.","Done","project-strideslip-ios,strideslip,ios,feature-registry,sharing,workouts","StrideSlip iOS","TYR","Medium","Sharing"
"Outdoor route maps","Show route maps for outdoor HealthKit workouts when route data is available locally.","Done","project-strideslip-ios,strideslip,ios,feature-registry,mapkit,workouts","StrideSlip iOS","TYR","Medium","Workouts"
"Workout templates and tags","Tag workouts with training labels such as Push Day, Pull Day, Leg Day, Stair Session, Outdoor Walk, and Indoor Walk.","Done","project-strideslip-ios,strideslip,ios,feature-registry,workouts,customization","StrideSlip iOS","TYR","Medium","Workouts"
"Workout comparison","Compare a workout against recent similar sessions and show baseline context.","Done","project-strideslip-ios,strideslip,ios,feature-registry,workouts,analytics","StrideSlip iOS","TYR","Medium","Workouts"
"Insight receipts","Day, week, and month receipts with steps, distance, burn, workout time, averages, and goal progress.","Done","project-strideslip-ios,strideslip,ios,feature-registry,insights","StrideSlip iOS","TYR","High","Insights"
"Insights period navigation","Move Day, Week, and Month insight periods backward and forward without changing Today.","Done","project-strideslip-ios,strideslip,ios,feature-registry,insights,navigation","StrideSlip iOS","TYR","High","Insights"
"Monday-first weeks","Use Monday as the start of week for week-based insights and summaries.","Done","project-strideslip-ios,strideslip,ios,feature-registry,insights","StrideSlip iOS","TYR","Medium","Insights"
"Activity heat map","Visual heat map for week/month consistency and movement intensity.","Done","project-strideslip-ios,strideslip,ios,feature-registry,insights,charts","StrideSlip iOS","TYR","Medium","Insights"
"Cardio insight card","Cardio summary for walking, running, cycling, stairs, hiking, swimming, elliptical, and rowing workouts.","Done","project-strideslip-ios,strideslip,ios,feature-registry,cardio,insights","StrideSlip iOS","TYR","High","Cardio"
